seconds_interaction_window,triad_01_MG_P1P2,triad_02_MG_P1P2,triad_03_MG_P1P2,triad_04_MG_P1P2,triad_05_MG_P1P2,triad_06_MG_P1P2,triad_07_MG_P1P2,triad_08_MG_P1P2,triad_09_MG_P1P2,triad_10_MG_P1P2,triad_11_MG_P1P2,triad_14_MG_P1P2,triad_12_MG_P1P2,triad_13_MG_P1P2
460.0,0.0,,0.0,0.0,0.16510903426791276,0.026402640264026403,,,,,,0.0,,0.0
465.0,0.02962962962962963,,0.0,0.048723897911832945,0.009174311926605505,0.013605442176870748,,,,,,0.0,,0.051094890510948905
470.0,0.1162227602905569,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.06159420289855073
475.0,0.8105515587529977,,0.002849002849002849,0.0,0.0,0.0033444816053511705,,,,,,0.0,,0.12087912087912088
480.0,0.052757793764988015,,0.0,0.0,0.0,0.013605442176870748,,,,,,0.0,,0.0695970695970696
485.0,0.3403755868544601,,0.0,0.0,0.0,0.012944983818770227,,,,,,0.0,,0.0851063829787234
490.0,0.3932853717026379,,0.0,0.0,0.01592356687898089,0.05228758169934641,,,,,,0.0,,0.09747292418772563
495.0,0.007371007371007371,,0.0,0.0,0.0,0.13442622950819672,,,,,,0.0,,0.4028776978417266
500.0,0.1070559610705596,,0.0,0.0,0.0,0.076158940397351,,,,,,0.0,,0.07581227436823104
505.0,0.17788461538461536,,0.0,0.0,0.04294478527607362,0.22772277227722773,,,,,,0.0,,0.0
510.0,0.04390243902439024,,0.0,0.10046728971962617,0.0,0.19078947368421054,,,,,,0.0,,0.03636363636363636
515.0,0.0821256038647343,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.19636363636363635
520.0,0.36253041362530414,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.4489051094890511
525.0,0.0,,0.0,0.0,0.03492063492063492,0.0,,,,,,0.0,,0.03260869565217391
530.0,0.007407407407407408,,0.0,0.0,0.062111801242236024,0.0,,,,,,0.0,,0.025
535.0,0.0,,0.0,0.0,0.07210031347962383,0.010101010101010102,,,,,,0.0,,0.2518518518518518
540.0,0.0,,0.0,0.0,0.0,0.0033112582781456954,,,,,,0.0,,0.15217391304347827
545.0,0.0,,0.0,0.0,0.38837920489296635,0.0,,,,,,0.0,,0.28
550.0,0.009685230024213076,,0.0,0.0,0.396875,0.0,,,,,,0.0,,0.0
555.0,0.18401937046004843,,0.0,0.0,0.006269592476489028,0.0,,,,,,0.0,,0.20588235294117646
560.0,0.0,,0.0,0.0,0.012269938650306749,0.003355704697986577,,,,,,0.0,,0.21942446043165467
565.0,0.0,,0.0,0.0,0.42105263157894735,0.0,,,,,,0.0,,0.21428571428571427
570.0,0.059113300492610835,,0.0,0.06074766355140187,0.0,0.034129692832764506,,,,,,0.0,,0.0
575.0,0.1162227602905569,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.14233576642335766
580.0,0.08108108108108109,,0.0,0.0,0.0,0.0,,,,,,0.0,,0.14181818181818182
585.0,0.15424164524421594,,0.0,0.0,0.0,0.0,,,,,,,,0.0036900369003690036
590.0,0.0,,0.0,0.025522041763341066,0.0,0.050505050505050504,,,,,,,,0.0
595.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.4473684210526316
600.0,0.03535353535353535,,0.0,0.09662921348314607,0.028481012658227847,0.0,,,,,,,,0.1259259259259259
605.0,0.3713592233009709,,0.0,0.002257336343115124,0.0,0.10101010101010101,,,,,,,,0.01838235294117647
610.0,0.38613861386138615,,0.0,0.0,0.0,0.0,,,,,,,,0.0
615.0,0.05853658536585366,,,0.16703786191536749,0.0,0.0,,,,,,,,0.0
620.0,0.0,,,0.27927927927927926,0.025,0.0,,,,,,,,
625.0,0.4720194647201946,,,0.04337899543378995,0.0,,,,,,,,,
630.0,0.6537530266343826,,,0.006756756756756757,0.003105590062111801,,,,,,,,,
635.0,0.36097560975609755,,,0.0,0.0,,,,,,,,,
640.0,0.3472906403940887,,,0.0,,,,,,,,,,
645.0,0.26717557251908397,,,0.0,,,,,,,,,,
650.0,0.012195121951219513,,,0.0,,,,,,,,,,
655.0,0.02030456852791878,,,0.0,,,,,,,,,,
660.0,0.3710843373493976,,,0.0,,,,,,,,,,
665.0,0.21739130434782608,,,0.0,,,,,,,,,,
670.0,0.01488833746898263,,,0.0,,,,,,,,,,
675.0,0.0,,,0.0,,,,,,,,,,
680.0,0.025188916876574305,,,0.0,,,,,,,,,,
685.0,0.05378973105134474,,,0.0,,,,,,,,,,
690.0,0.06845965770171149,,,0.0,,,,,,,,,,
695.0,0.7346437346437347,,,0.0,,,,,,,,,,
700.0,0.5251256281407035,,,0.0,,,,,,,,,,
705.0,0.5324675324675324,,,0.0,,,,,,,,,,
710.0,0.57356608478803,,,0.0,,,,,,,,,,
715.0,0.6195372750642674,,,0.0,,,,,,,,,,
720.0,0.31565656565656564,,,0.0,,,,,,,,,,
725.0,0.04534005037783375,,,0.0,,,,,,,,,,
730.0,0.0,,,0.0,,,,,,,,,,
735.0,0.02689486552567237,,,0.0,,,,,,,,,,
740.0,0.0,,,0.0,,,,,,,,,,
745.0,,,,0.0,,,,,,,,,,
750.0,,,,0.0,,,,,,,,,,
755.0,,,,0.0,,,,,,,,,,
760.0,,,,,,,,,,,,,,
765.0,,,,,,,,,,,,,,
770.0,,,,,,,,,,,,,,
775.0,,,,,,,,,,,,,,
780.0,,,,,,,,,,,,,,
785.0,,,,,,,,,,,,,,
790.0,,,,,,,,,,,,,,
795.0,,,,,,,,,,,,,,
800.0,,,,,,,,,,,,,,
805.0,,,,,,,,,,,,,,
810.0,,,,,,,,,,,,,,
